time,open,high,low,close,MA №1,MA №2,MA №3,MA №4,Volume,Volume MA
2023-05-31T22:12:00+02:00,27110.78,27128.08,27110.78,27122.75,27113.748500000052,27124.97899999998,NaN,NaN,0.41781,0.7932919999999999
2023-05-31T22:13:00+02:00,27121.48,27128.99,27121.48,27128.99,27112.75900000005,27125.652999999977,NaN,NaN,0.05492,0.7684824999999998
2023-05-31T22:14:00+02:00,27129.53,27130.1,27128.18,27129.26,27111.36500000005,27126.173799999975,NaN,NaN,0.07424,0.7442099999999998
2023-05-31T22:15:00+02:00,27131.38,27131.85,27123.83,27123.83,27110.74150000005,27126.840799999973,NaN,NaN,0.09818,0.4241184999999998
2023-05-31T22:16:00+02:00,27119.39,27125.4,27119.38,27123.83,27110.70000000005,27127.335999999974,NaN,NaN,0.12709,0.4107244999999998
2023-05-31T22:17:00+02:00,27127.08,27127.9,27115.56,27118.21,27109.840500000057,27127.682199999974,NaN,NaN,0.63406,0.36538099999999984
2023-05-31T22:18:00+02:00,27119.51,27128.16,27119.26,27127.96,27109.124500000053,27128.218199999974,NaN,NaN,0.08122,0.3356669999999998
2023-05-31T22:19:00+02:00,27136.36,27136.37,27132.77,27132.77,27111.42850000005,27129.088999999974,NaN,NaN,0.18328,0.27978749999999986
2023-05-31T22:20:00+02:00,27131.81,27132.39,27131.81,27132.39,27113.645500000053,27130.015999999974,NaN,NaN,0.21157,0.25281699999999985
2023-05-31T22:21:00+02:00,27127.81,27127.82,27122.37,27122.38,27115.14400000005,27130.466199999973,NaN,NaN,0.05966,0.21099199999999985
2023-05-31T22:22:00+02:00,27120.1,27134.44,27120.09,27134.44,27117.16000000005,27131.039799999977,NaN,NaN,1.25667,0.2611304999999998
2023-05-31T22:23:00+02:00,27131.89,27148.13,27131.89,27141.56,27119.525000000052,27131.543599999975,NaN,NaN,0.24913,0.2701009999999998
2023-05-31T22:24:00+02:00,27140.48,27156.68,27140.48,27156.67,27122.834500000055,27132.30499999997,NaN,NaN,0.10817,0.24208749999999984
2023-05-31T22:25:00+02:00,27157.19,27167.69,27157.18,27167.69,27126.338500000053,27133.126399999972,NaN,NaN,0.15755,0.23133199999999982
2023-05-31T22:26:00+02:00,27172.91,27172.91,27160.49,27160.5,27129.126500000053,27133.64459999997,NaN,NaN,0.09307,0.22923199999999982
2023-05-31T22:27:00+02:00,27158.47,27163.51,27158.19,27161.34,27131.83050000005,27134.064999999973,NaN,NaN,0.149,0.23129649999999985
2023-05-31T22:28:00+02:00,27156.82,27158.93,27156.6,27158.34,27134.074500000053,27134.631599999975,NaN,NaN,0.03897,0.22926349999999984
2023-05-31T22:29:00+02:00,27168.13,27179.74,27160.86,27163.19,27136.591000000055,27135.258399999977,NaN,NaN,12.16541,0.8352189999999998
2023-05-31T22:30:00+02:00,27166.94,27166.94,27158.61,27159.28,27138.669000000053,27135.903399999974,NaN,NaN,0.30767,0.8421384999999999
2023-05-31T22:31:00+02:00,27160.29,27173.89,27160.29,27172.02,27141.870000000054,27136.323199999973,NaN,NaN,0.41509,0.8441379999999998
2023-05-31T22:32:00+02:00,27178.93,27186.81,27178.92,27185.69,27145.01700000005,27137.11659999998,NaN,NaN,0.31237,0.838866
2023-05-31T22:33:00+02:00,27184.69,27184.69,27167.78,27167.78,27146.95650000005,27137.559999999976,NaN,NaN,0.64341,0.8682905
2023-05-31T22:34:00+02:00,27168.07,27172.18,27160.14,27170.12,27148.999500000053,27137.60079999998,NaN,NaN,0.826,0.9058785
2023-05-31T22:35:00+02:00,27167.18,27169.5,27166.77,27166.77,27151.146500000053,27137.50099999998,NaN,NaN,0.16012,0.9089755
2023-05-31T22:36:00+02:00,27159.23,27159.23,27141.5,27152.36,27152.57300000005,27137.074799999973,NaN,NaN,1.55843,0.9805425000000001
2023-05-31T22:37:00+02:00,27152.58,27163.9,27143.46,27143.46,27153.835500000052,27136.32039999997,NaN,NaN,1.29369,1.013524
2023-05-31T22:38:00+02:00,27152.05,27162.55,27152.05,27160.13,27155.444000000054,27135.754599999975,NaN,NaN,0.3947,1.0291980000000003
2023-05-31T22:39:00+02:00,27161.78,27173.41,27161.78,27163.53,27156.982000000055,27135.36619999998,NaN,NaN,0.42066,1.0410670000000004
2023-05-31T22:40:00+02:00,27158.6,27164.07,27157.68,27161.48,27158.43650000005,27135.231399999975,NaN,NaN,0.16022,1.0384995000000004
2023-05-31T22:41:00+02:00,27162.51,27162.51,27145.27,27160.96,27160.365500000054,27135.401999999973,NaN,NaN,0.83364,1.0771985000000002
2023-05-31T22:42:00+02:00,27156.35,27158.12,27153.59,27153.75,27161.331000000053,27135.51299999997,NaN,NaN,0.16282,1.0225060000000004
2023-05-31T22:43:00+02:00,27153.93,27166.59,27153.93,27166.59,27162.582500000055,27135.869199999976,NaN,NaN,0.14728,1.0174135000000002
2023-05-31T22:44:00+02:00,27161.82,27180.96,27161.64,27180.96,27163.797000000057,27136.34559999997,NaN,NaN,0.84861,1.0544355
2023-05-31T22:45:00+02:00,27181.2,27181.2,27158.59,27159.97,27163.41100000006,27136.818999999974,NaN,NaN,0.26538,1.059827
2023-05-31T22:46:00+02:00,27158.95,27166.53,27151.96,27160.51,27163.411500000053,27137.535999999975,NaN,NaN,0.44669,1.0775080000000001
2023-05-31T22:47:00+02:00,27161.04,27161.04,27159.26,27159.26,27163.307500000054,27138.013199999972,NaN,NaN,0.03883,1.0719995
2023-05-31T22:48:00+02:00,27162.28,27163.87,27160.35,27163.87,27163.584000000053,27138.44499999997,NaN,NaN,0.25861,1.0829815000000003
2023-05-31T22:49:00+02:00,27163.86,27164.02,27156.84,27162.85,27163.56700000005,27139.968199999974,NaN,NaN,0.12256,0.4808390000000002
2023-05-31T22:50:00+02:00,27163.87,27171.48,27163.87,27171.48,27164.177000000047,27141.636799999975,NaN,NaN,0.16012,0.47346150000000015
2023-05-31T22:51:00+02:00,27170.32,27171.66,27169.56,27171.45,27164.14850000005,27143.217599999974,NaN,NaN,0.27039,0.4662265000000002
2023-05-31T22:52:00+02:00,27169.16,27178.34,27169.16,27177.07,27163.71750000005,27144.876599999974,NaN,NaN,1.04636,0.5029260000000002
2023-05-31T22:53:00+02:00,27177.06,27180.95,27175.56,27180.21,27164.339000000047,27146.59559999998,NaN,NaN,0.28819,0.4851650000000003
2023-05-31T22:54:00+02:00,27175.77,27177.58,27174.98,27177.58,27164.71200000005,27148.337599999973,NaN,NaN,0.07221,0.44747550000000025
2023-05-31T22:55:00+02:00,27180.84,27181.45,27169.29,27169.29,27164.838000000054,27149.771199999974,NaN,NaN,0.18802,0.4488705000000003
2023-05-31T22:56:00+02:00,27171.84,27173.75,27165.85,27168.91,27165.66550000005,27151.05459999997,NaN,NaN,0.16872,0.37938500000000036
