time,open,high,low,close,ema20,ema50,ema100,ema200,Volume,Volume MA
2023-06-05T00:55:00+02:00,27365.89,27365.89,27321.47,27321.47,27359.66399538011,27348.43421109064,27330.002060525756,27309.06520336527,0.96964,0.7122099999999931
2023-06-05T00:56:00+02:00,27318.13,27335.51,27308.52,27308.52,27354.793138677243,27346.868947910614,27329.57667318861,27309.05977845616,1.50479,0.7461949999999932
2023-06-05T00:57:00+02:00,27310.58,27310.58,27286.06,27302.74,27349.83569689846,27345.138400933727,27329.04525391755,27308.99689508844,0.76323,0.7508519999999932
2023-06-05T00:58:00+02:00,27310.01,27310.01,27282.57,27301.19,27345.20277338432,27343.414934230444,27328.493664731064,27308.919214540296,2.09348,0.7889364999999932
2023-06-05T00:59:00+02:00,27297.59,27297.6,27276.72,27284.45,27339.416794966768,27341.102583868465,27327.62151295421,27308.67573976875,0.86938,0.7487274999999931
2023-06-05T01:00:00+02:00,27292.85,27336.81,27292.85,27336.18,27339.108528779456,27340.90954136382,27327.790987945216,27308.949413999908,1.47938,0.755415499999993
2023-06-05T01:01:00+02:00,27336.82,27345.19,27331.5,27335.08,27338.72485937189,27340.680931898572,27327.935324817587,27309.209419830753,0.69325,0.7178984999999931
2023-06-05T01:02:00+02:00,27336.64,27355.26,27336.64,27349.68,27339.76820609838,27341.03383653,27328.365912444962,27309.612112170747,1.06134,0.7638144999999931
2023-06-05T01:03:00+02:00,27350.14,27366.69,27350.14,27366.69,27342.33218646996,27342.03996058765,27329.124805267835,27310.180051353127,0.16354,0.703762999999993
2023-06-05T01:04:00+02:00,27362,27362,27337.02,27355.88,27343.622454425204,27342.58270723127,27329.654611104117,27310.63477721031,0.63513,0.7243339999999929
2023-06-05T01:05:00+02:00,27354.52,27365.36,27351.99,27365.36,27345.692696860897,27343.475934398673,27330.361648507995,27311.17930679031,1.46586,0.786914499999993
2023-06-05T01:06:00+02:00,27367.76,27377.8,27346.37,27347.99,27345.91148763605,27343.652956579117,27330.710724775163,27311.545582344635,1.26679,0.846850499999993
2023-06-05T01:07:00+02:00,27345.79,27345.79,27324.3,27324.3,27343.85325071833,27342.894017105427,27330.58377973011,27311.672491973048,0.18981,0.8309724999999929
2023-06-05T01:08:00+02:00,27327.1,27333.95,27323.2,27333.95,27342.91008398325,27342.543271336588,27330.650437557237,27311.894158719584,0.84122,0.8574634999999929
2023-06-05T01:09:00+02:00,27331.43,27342.2,27331.43,27342.2,27342.842456937226,27342.529809715546,27330.879141764024,27312.19570937909,0.21029,0.838582999999993
2023-06-05T01:10:00+02:00,27340.46,27344.83,27340.42,27344.15,27342.966984847964,27342.593346589445,27331.141931036025,27312.5136625196,0.0644,0.8258739999999929
2023-06-05T01:11:00+02:00,27340.94,27340.94,27320.07,27334.02,27342.11489105292,27342.25713691927,27331.19892250066,27312.727655927363,1.73223,0.9080119999999929
2023-06-05T01:12:00+02:00,27332.38,27337.94,27332.38,27337.91,27341.714425238355,27342.086660961653,27331.33181512441,27312.97822651515,0.40833,0.924795499999993
2023-06-05T01:13:00+02:00,27343.9,27348.92,27343.9,27348.92,27342.40067045375,27342.35463504159,27331.680096013035,27313.335856102065,0.04694,0.918113999999993
2023-06-05T01:14:00+02:00,27350.8,27350.8,27343.73,27348.46,27342.977749458154,27342.59406111839,27332.012371339508,27313.6853500712,0.02379,0.8241409999999931
2023-06-05T01:15:00+02:00,27350.49,27350.49,27342.02,27342.02,27342.886535224043,27342.57154891767,27332.210542204073,27313.96728688641,0.05438,0.7783779999999931
2023-06-05T01:16:00+02:00,27336.05,27336.05,27331.61,27331.61,27341.812579488418,27342.14168425423,27332.19865027924,27314.142836270625,0.01026,0.7036514999999931
2023-06-05T01:17:00+02:00,27332.63,27344.3,27332.63,27336.99,27341.35328620381,27341.93965742073,27332.293528491533,27314.370171233106,0.01478,0.6662289999999931
2023-06-05T01:18:00+02:00,27337.11,27341.04,27337.11,27341.03,27341.32249704154,27341.903984580702,27332.466527927343,27314.635443161136,0.022,0.5626549999999931
2023-06-05T01:19:00+02:00,27327.6,27327.6,27311.99,27311.99,27338.528925894727,27340.730887146165,27332.061052126803,27314.60912034361,0.04403,0.5213874999999931
2023-06-05T01:20:00+02:00,27317.44,27326.61,27317.44,27325.28,27337.267123428563,27340.124970003177,27331.926773866868,27314.71529825064,0.06226,0.4505314999999931
2023-06-05T01:21:00+02:00,27322.88,27328.37,27322.88,27325.28,27336.12549262584,27339.542814316777,27331.795154582374,27314.820419661082,0.40916,0.4363269999999931
2023-06-05T01:22:00+02:00,27318.83,27318.83,27307.21,27307.21,27333.371636185286,27338.27486081416,27331.30831983817,27314.744694092315,0.02627,0.38457349999999313
2023-06-05T01:23:00+02:00,27306.7,27306.7,27221.21,27249.24,27325.359099405734,27334.783297644975,27329.683204593846,27314.092906091395,1.59407,0.45609999999999307
2023-06-05T01:24:00+02:00,27235.47,27255.32,27232.3,27255.32,27318.68870898614,27331.667089894192,27328.21066588902,27313.50810105566,0.32544,0.44061549999999305
2023-06-05T01:25:00+02:00,27252.27,27276.42,27240.45,27243.51,27311.528831939842,27328.20994911403,27326.533424980324,27312.811602537695,1.27794,0.4312194999999931
2023-06-05T01:26:00+02:00,27240.79,27246.35,27213.46,27219.29,27302.744181278904,27323.938578560537,27324.409792802497,27311.881039328364,0.37729,0.38674449999999305
2023-06-05T01:27:00+02:00,27228.11,27235.06,27222.35,27235.06,27296.298068776152,27320.45314410718,27322.640489974725,27311.116650877335,0.08409,0.3814584999999931
2023-06-05T01:28:00+02:00,27232.59,27250.69,27218.79,27225.71,27289.575395559375,27316.73772669121,27320.72107433166,27310.26683345567,0.65126,0.3719604999999931
2023-06-05T01:29:00+02:00,27224.34,27224.34,27191.51,27191.51,27280.23583407753,27311.82683544842,27318.16243919638,27309.085173421285,0.7554,0.3992159999999931
2023-06-05T01:30:00+02:00,27184.95,27210.82,27172,27198.18,27272.420992736814,27307.370096803385,27315.786549311306,27307.981639357393,1.40779,0.46638549999999307
2023-06-05T01:31:00+02:00,27194.32,27221.7,27194.32,27212.61,27266.72470771426,27303.6540145758,27313.743449324942,27307.0326678215,2.52042,0.5057949999999931
2023-06-05T01:32:00+02:00,27212.63,27229.17,27212.63,27228.19,27263.054735551,27300.694641455182,27312.049321615537,27306.24816366407,0.05335,0.4880459999999931
2023-06-05T01:33:00+02:00,27225,27225,27215.99,27215.99,27258.572379784237,27297.372890809882,27310.14715683107,27305.350072483332,0.00426,0.4859119999999931
2023-06-05T01:34:00+02:00,27216.71,27218.15,27216.71,27217.8,27254.68929599526,27294.252385287924,27308.318500260157,27304.4789274835,0.03967,0.4867059999999931
2023-06-05T01:35:00+02:00,27225.83,27225.83,27208.86,27209.53,27250.388410662377,27290.929938806046,27306.36229233421,27303.534162035903,0.07027,0.4875004999999931
2023-06-05T01:36:00+02:00,27218.78,27222.27,27218.78,27222.24,27247.707609646914,27288.236215715613,27304.6965043672,27302.72526490122,0.03037,0.4885059999999931
2023-06-05T01:37:00+02:00,27222.43,27222.43,27207.01,27207.01,27243.831646823397,27285.050873922843,27302.762118142105,27301.772874205686,0.78905,0.5272194999999931
2023-06-05T01:38:00+02:00,27210.37,27214.84,27210.37,27214.84,27241.07053760212,27282.297506318024,27301.02108609969,27300.907870482246,0.19228,0.5357334999999931
2023-06-05T01:39:00+02:00,27207.46,27208.44,27205.89,27208.41,27237.960010211442,27279.39995705065,27299.187203206624,27299.987493661527,0.23263,0.5451634999999931
2023-06-05T01:40:00+02:00,27208.96,27221.31,27208.96,27213.62,27235.64191400083,27276.8203508918,27297.492803143126,27299.128115615145,0.73357,0.5787289999999932
2023-06-05T01:41:00+02:00,27213.14,27213.14,27196.32,27196.33,27231.897922191227,27273.663866543102,27295.48957931851,27298.105248793105,0.87023,0.6017824999999931
2023-06-05T01:42:00+02:00,27194.54,27214.69,27194.54,27208.25,27229.645739125397,27271.098616874744,27293.76206289636,27297.211166715562,0.46438,0.6236879999999931
2023-06-05T01:43:00+02:00,27211.59,27211.59,27199.01,27199.01,27226.728049684883,27268.27161229142,27291.885784423164,27296.23404067859,0.03176,0.5455724999999931
2023-06-05T01:44:00+02:00,27196.94,27207.01,27196.4,27207.01,27224.850140191083,27265.86919612313,27290.205075820726,27295.346239278806,0.00645,0.5296229999999931
2023-06-05T01:45:00+02:00,27206.83,27206.83,27194.13,27194.13,27221.92441255384,27263.05589431438,27288.3025990718,27294.339112519814,0.73112,0.502281999999993
2023-06-05T01:46:00+02:00,27192.3,27192.3,27147.77,27150.29,27215.102087548712,27258.633702380484,27285.569676317904,27292.905788017128,1.10208,0.538521499999993
2023-06-05T01:47:00+02:00,27145.76,27145.76,27094.66,27118.57,27205.908555401216,27253.141008169485,27282.26275203438,27291.171103559245,1.46753,0.607693499999993
2023-06-05T01:48:00+02:00,27134.11,27141.92,27124.19,27141.92,27199.814407267768,27248.779400005977,27279.48368763766,27289.68601795169,0.05729,0.5779949999999929
2023-06-05T01:49:00+02:00,27147.37,27150.3,27126.68,27150.3,27195.098749432742,27244.91746275084,27276.925594813154,27288.299092399935,0.11335,0.545892499999993
2023-06-05T01:50:00+02:00,27153.87,27153.87,27133.4,27141.28,27189.97315424867,27240.853248525316,27274.239543430715,27286.836215858642,0.32735,0.4918704999999929
2023-06-05T01:51:00+02:00,27141.38,27141.38,27125.04,27131.06,27184.362377653557,27236.54763093609,27271.404304946936,27285.28620376055,0.23692,0.3776954999999929
2023-06-05T01:52:00+02:00,27152.15,27152.15,27149.18,27149.18,27181.011675019883,27233.121449330753,27268.98402168066,27283.931913175868,0.10445,0.3802504999999929
2023-06-05T01:53:00+02:00,27147.74,27154.59,27146.19,27154.59,27178.49532501799,27230.041784651115,27266.718793528566,27282.64492896516,0.05296,0.38268549999999285
2023-06-05T01:54:00+02:00,27155.11,27158.63,27141.27,27158.63,27176.603389301992,27227.241322507936,27264.578421379487,27281.410949572473,0.48862,0.4051329999999928
2023-06-05T01:55:00+02:00,27155.73,27155.73,27143.72,27143.72,27173.471637939896,27223.965976527234,27262.185185312566,27280.040890372748,0.03908,0.4035734999999928
2023-06-05T01:56:00+02:00,27138.98,27154.16,27138.98,27151.56,27171.384815278954,27221.126526467342,27259.994587583606,27278.762473553117,0.15412,0.4097609999999928
2023-06-05T01:57:00+02:00,27167.12,27167.62,27165.36,27167.62,27171.026261442865,27219.02823131176,27258.165387829475,27277.65657829388,0.02712,0.37166449999999285
2023-06-05T01:58:00+02:00,27165.34,27175.22,27165.34,27173.78,27171.28852225783,27217.253790868162,27256.494390050673,27276.622980499913,0.12941,0.3685209999999929
2023-06-05T01:59:00+02:00,27172.24,27178.58,27163.91,27173.32,27171.48199632851,27215.530897108627,27254.847372425906,27275.59509014668,0.44942,0.37936049999999283
2023-06-05T02:00:00+02:00,27160.83,27161.32,27148.64,27155.48,27169.95799667818,27213.175959967113,27252.8797016848,27274.399915120342,0.18611,0.35198749999999285
2023-06-05T02:01:00+02:00,27160.35,27160.35,27140.25,27140.57,27167.159139851687,27210.328667419384,27250.655747195993,27273.06827417387,0.02485,0.3097184999999928
2023-06-05T02:02:00+02:00,27136.76,27136.76,27113.74,27123.37,27162.988745580096,27206.918523599015,27248.13523735053,27271.578739107463,0.21878,0.2974384999999928
2023-06-05T02:03:00+02:00,27135.23,27145.71,27120.21,27145.71,27161.343150762943,27204.51818934023,27246.107014828736,27270.32631384271,0.26336,0.30901849999999276
2023-06-05T02:04:00+02:00,27141.57,27141.57,27141.57,27141.57,27159.459993547425,27202.049632895516,27244.036974931136,27269.04515649104,0.00149,0.3087704999999928
2023-06-05T02:05:00+02:00,27123.42,27123.42,27123.35,27123.35,27156.020946542907,27198.963372781967,27241.64713384339,27267.59545344138,0.01172,0.2728004999999928
2023-06-05T02:06:00+02:00,27119.85,27131.65,27116.93,27131.65,27153.69990401501,27196.32363267287,27239.468972777184,27266.242762362363,0.03443,0.21941799999999284
2023-06-05T02:07:00+02:00,27139.51,27148.47,27139.51,27148.24,27153.17991315644,27194.438000019032,27237.662458464765,27265.068605522934,0.04343,0.14821299999999282
2023-06-05T02:08:00+02:00,27154.67,27174.49,27154.67,27174.33,27155.19420714154,27193.649450998677,27236.408350376354,27264.16573382619,0.24991,0.15784399999999282
2023-06-05T02:09:00+02:00,27173.98,27177.61,27167.94,27177.61,27157.32904455663,27193.020452920297,27235.244026606524,27263.304482743344,0.17711,0.1610319999999928
2023-06-05T02:10:00+02:00,27179.14,27179.14,27173.1,27177,27159.20246888457,27192.3921998646,27234.09067954501,27262.445731671272,0.04625,0.1469769999999928
2023-06-05T02:11:00+02:00,27180.55,27180.55,27174.56,27177.23,27160.91937660985,27191.797603791478,27232.964725494614,27261.5978139432,0.01094,0.1356779999999928
2023-06-05T02:12:00+02:00,27177.05,27181.4,27133.2,27162.07,27161.028959789866,27190.631815407498,27231.560869544224,27260.607487436304,2.25905,0.2434079999999928
2023-06-05T02:13:00+02:00,27142.13,27149.7,27142.13,27149.7,27159.950011238452,27189.026646175833,27229.939862226518,27259.503930347386,0.38408,0.2599639999999928
2023-06-05T02:14:00+02:00,27141.36,27150.2,27136.97,27142.95,27158.330962549077,27187.21971887482,27228.21729069728,27258.344189746913,1.19286,0.29517599999999283
2023-06-05T02:15:00+02:00,27145.44,27145.44,27134.34,27134.34,27156.046108972972,27185.146004409144,27226.35833444585,27257.11031721212,0.04347,0.2953954999999928
2023-06-05T02:16:00+02:00,27130.95,27130.95,27119.22,27119.22,27152.538860499357,27182.5606709029,27224.236783268705,27255.738274254785,0.08242,0.2918104999999928
2023-06-05T02:17:00+02:00,27124.83,27124.83,27107.36,27122.53,27149.68087378513,27180.206526945924,27222.222787560415,27254.412818789562,0.21106,0.3010074999999928
2023-06-05T02:18:00+02:00,27122.34,27122.34,27116.47,27116.47,27146.517933424642,27177.707055300987,27220.12867295526,27253.040253428473,0.01184,0.2951289999999928
2023-06-05T02:19:00+02:00,27119.12,27119.84,27119.08,27119.84,27143.97717786039,27175.437759014672,27218.142758639315,27251.71487777247,0.00365,0.2728404999999928
2023-06-05T02:20:00+02:00,27104.86,27104.86,27099.17,27099.18,27139.710779968926,27172.447258661156,27215.787060448438,27250.197117794633,0.00439,0.26375449999999284
2023-06-05T02:21:00+02:00,27107.2,27121.78,27095.09,27118.26,27137.667848543315,27170.322268125423,27213.85583152867,27248.884310652396,0.66185,0.29560449999999283
2023-06-05T02:22:00+02:00,27119.9,27126.8,27112.71,27123.31,27136.300434396333,27168.478649767563,27212.062844765725,27247.634815024016,0.20016,0.29467349999999287
2023-06-05T02:23:00+02:00,27122.74,27142.82,27122.74,27142.82,27136.921345406205,27167.47242820805,27210.69169932482,27246.59188154119,0.13018,0.2880144999999929
2023-06-05T02:24:00+02:00,27147.64,27159.57,27146.82,27146.82,27137.864074415138,27166.662529062636,27209.426913199575,27245.59912650098,0.06102,0.2909909999999929
