time,open,high,low,close,Volume,Volume MA
2023-06-02T23:25:00+02:00,27227.99,27228.7,27225.22,27225.89,0.0605,0.16675499999999324
2023-06-02T23:26:00+02:00,27222.95,27227.63,27222.95,27226.21,0.01774,0.13179549999999324
2023-06-02T23:27:00+02:00,27224.86,27225.02,27219.84,27219.85,0.59106,0.15137649999999322
2023-06-02T23:28:00+02:00,27216.19,27226.24,27215.32,27222.34,0.23878,0.14904949999999323
2023-06-02T23:29:00+02:00,27220.26,27224.86,27219.05,27222.97,0.15054,0.15300199999999323
2023-06-02T23:30:00+02:00,27222.4,27222.4,27220.93,27222.09,0.04091,0.15284749999999322
2023-06-02T23:31:00+02:00,27222.09,27222.1,27221.84,27221.85,0.0447,0.14438399999999324
2023-06-02T23:32:00+02:00,27221.84,27221.84,27219.25,27219.26,0.14278,0.13138999999999326
2023-06-02T23:33:00+02:00,27219.25,27219.26,27219.25,27219.25,0.07597,0.12770849999999326
2023-06-02T23:34:00+02:00,27219.26,27219.26,27218.35,27218.35,0.12149,0.13249149999999327
2023-06-02T23:35:00+02:00,27218.34,27222.46,27217.32,27217.47,0.37477,0.14886349999999324
2023-06-02T23:36:00+02:00,27220.76,27221.48,27220.76,27221.48,0.02622,0.14702549999999323
2023-06-02T23:37:00+02:00,27221.47,27233.81,27221.47,27233.81,0.2873,0.16037499999999325
2023-06-02T23:38:00+02:00,27234.57,27245.5,27234.57,27245.13,0.43395,0.16030599999999323
2023-06-02T23:39:00+02:00,27249.32,27255.62,27249.32,27251.46,0.1071,0.16384399999999325
2023-06-02T23:40:00+02:00,27252.72,27253.37,27246.94,27248.17,0.07289,0.16710599999999326
2023-06-02T23:41:00+02:00,27245.62,27255.07,27245.61,27252.05,0.07748,0.15079899999999324
2023-06-02T23:42:00+02:00,27252.05,27255.14,27252.04,27252.57,0.05186,0.15053949999999325
2023-06-02T23:43:00+02:00,27252.57,27261.89,27251.06,27257.9,0.20501,0.15886199999999326
2023-06-02T23:44:00+02:00,27258.41,27260.72,27254.71,27258.9,0.37437,0.17477099999999327
2023-06-02T23:45:00+02:00,27258.87,27259.81,27258.26,27258.99,0.322,0.18784599999999324
2023-06-02T23:46:00+02:00,27259.19,27275.59,27259.17,27275.59,1.35329,0.2546234999999933
2023-06-02T23:47:00+02:00,27275.55,27281.49,27275.55,27281.49,0.32992,0.2415664999999933
2023-06-02T23:48:00+02:00,27281.5,27286.95,27281.5,27286.05,0.20376,0.2398154999999933
2023-06-02T23:49:00+02:00,27286.95,27293.43,27284.13,27293.43,0.10707,0.2376419999999933
2023-06-02T23:50:00+02:00,27294.05,27296.35,27289.97,27293.76,0.17625,0.24440899999999327
2023-06-02T23:51:00+02:00,27293.75,27297.9,27291.52,27295.63,0.56795,0.27057149999999325
2023-06-02T23:52:00+02:00,27299.24,27299.95,27296.59,27297.72,0.05268,0.2660664999999932
2023-06-02T23:53:00+02:00,27294.14,27294.14,27286.98,27289.37,0.25494,0.27501499999999324
2023-06-02T23:54:00+02:00,27288.57,27288.57,27287.11,27288.04,0.186,0.2782404999999933
